2025/06/27 18:31:39 [error] 523#523: *102 open() "/var/www/html/assets/images/slide3.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide3.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:31:41 [error] 523#523: *102 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:31:41 [error] 522#522: *79 open() "/var/www/html/assets/images/wechat-qr.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/wechat-qr.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:31:41 [error] 522#522: *79 open() "/var/www/html/assets/images/slide1.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide1.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:31:41 [error] 523#523: *102 open() "/var/www/html/assets/images/slide2.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide2.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:31:41 [error] 522#522: *101 open() "/var/www/html/assets/images/slide3.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide3.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:31:43 [error] 523#523: *102 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/stats.php"
2025/06/27 18:32:37 [error] 523#523: *102 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 18:32:43 [error] 523#523: *102 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 18:32:47 [error] 523#523: *102 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 18:32:57 [error] 523#523: *102 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 18:33:03 [error] 523#523: *102 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 18:33:07 [error] 523#523: *102 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 18:33:09 [error] 523#523: *102 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 18:33:13 [error] 523#523: *102 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 18:33:16 [error] 523#523: *102 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 18:33:19 [error] 523#523: *102 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 18:33:21 [error] 523#523: *102 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 18:36:08 [error] 522#522: *154 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:36:08 [error] 522#522: *156 open() "/var/www/html/assets/images/wechat-qr.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/wechat-qr.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:36:08 [error] 522#522: *156 open() "/var/www/html/assets/images/slide1.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide1.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:36:08 [error] 523#523: *157 open() "/var/www/html/assets/images/slide3.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide3.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:36:08 [error] 522#522: *154 open() "/var/www/html/assets/images/slide2.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide2.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:36:10 [error] 523#523: *157 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/stats.php"
2025/06/27 18:36:16 [error] 523#523: *157 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 19:58:29 [error] 531#531: *1 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 19:58:49 [error] 531#531: *1 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 19:59:18 [error] 531#531: *1 open() "/var/www/html/assets/images/slide1.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide1.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/"
2025/06/27 19:59:18 [error] 531#531: *29 open() "/var/www/html/assets/images/slide2.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide2.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/"
2025/06/27 19:59:18 [error] 531#531: *29 open() "/var/www/html/assets/images/slide3.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide3.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/"
2025/06/27 19:59:18 [error] 531#531: *1 open() "/var/www/html/assets/images/wechat-qr.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/wechat-qr.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/"
2025/06/27 20:04:14 [error] 532#532: *4 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 20:09:06 [error] 531#531: *37 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/stats.php"
2025/06/27 20:09:08 [error] 531#531: *37 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
